,active,age,birth_city,birth_country,birth_date,birth_state,college,depth_chart_order,depth_chart_position,espn_id,fantasy_data_id,fantasy_positions,first_name,full_name,gsis_id,hashtag,height,high_school,injury_body_part,injury_notes,injury_start_date,injury_status,last_name,news_updated,number,player_id,position,practice_description,practice_participation,rotowire_id,rotoworld_id,search_first_name,search_full_name,search_last_name,search_rank,sport,sportradar_id,stats_id,status,team,weight,yahoo_id,years_exp
2103,False,27,,,1991-04-22,,Temple,,,17054,16426,['OL'],Cody,Cody Booth,,#CodyBooth-NFL-FA-60,"6'5""",,,,,,Booth,,60,2103,OT,,,9866,,cody,codybooth,booth,9999999,nfl,4cd4976e-e230-4935-ad3f-c12876a41350,,Inactive,,285,27841,1
6250,True,,,,,,,,,3916426,21183,['DL'],Eurndraus,Eurndraus Bryant,,#EurndrausBryant-NFL-FA-0,,,,,,,Bryant,,0,6250,DT,,,,,eurndraus,eurndrausbryant,bryant,9999999,nfl,9ff46edb-988f-4c8a-ad56-0502808ca1a6,,Inactive,,,32538,0
4116,True,26,,,1993-12-10,,Troy,,,2972820,18962,['OL'],Antonio,Antonio Garcia,00-0033922,#AntonioGarcia-NFL-FA-71,"6'6""",,,,,,Garcia,1560221750273,71,4116,OT,,,11794,12247,antonio,antoniogarcia,garcia,9999999,nfl,a2b6e1f9-1f06-45e3-b6e9-79ec8490e5ef,,Inactive,,293,30198,2
6177,True,23,,,1996-08-09,,Western Illinois,2,NT,3121634,20934,['DL'],Khalen,Khalen Saunders, 00-0035656,#KhalenSaunders-NFL-KC-99,"6'0""",,,,,,Saunders,,99,6177,NT,,,13746,,khalen,khalensaunders,saunders,1099,nfl,757c55e1-2f3a-41d2-a211-16bf577a1586,,Active,KC,324,31916,0
5870,True,22,,,1997-05-27,,Duke,1,QB,3917792,20841,['QB'],Daniel,Daniel Jones, 00-0035710,#DanielJones-NFL-NYG-8,"6'5""",,,,,Probable,Jones,1577067902287,8,5870,QB,,,13491,13963,daniel,danieljones,jones,299,nfl,0042266b-cb28-4012-bfd2-06650badad97,879981,Active,NYG,221,31838,0
4297,True,25,,,1994-04-29,,Iowa State,,,3892776,19145,['LB'],Jarnor,Jarnor Jones,,#JarnorJones-NFL-FA-40,"6'3""",,,,,,Jones,,40,4297,ILB,,,,,jarnor,jarnorjones,jones,9999999,nfl,508a854c-2fc5-47e1-9376-0151f45963c1,,Inactive,,210,30454,2
1347,True,29,,,1990-06-30,,Arkansas,,,15940,14866,['TE'],Chris,Chris Gragg,,#ChrisGragg-NFL-FA-87,"6'3""",,,,,,Gragg,,87,1347,TE,,,8788,,chris,chrisgragg,gragg,9999999,nfl,36521d92-2c2c-4ae4-9b60-9928c3167e30,465638,Inactive,,244,26845,6
5381,True,24,,,1995-02-14,,None,,,3054971,19995,['P'],Johnny,Johnny Townsend,00-0034684,#JohnnyTownsend-NFL-FA-6,"6'1""",,,,,,Townsend,1565823938203,6,5381,P,,,12777,,johnny,johnnytownsend,townsend,9999999,nfl,2eb0706c-3017-4895-a207-71d6fe9e1549,748627,Inactive,,210,31143,1
1023,True,30,,,1989-07-24,,Florida,,,13974,13698,['OL'],Mike,Mike Pouncey,00-0027953,#MikePouncey-NFL-LAC-53,"6'5""",,Neck,Pouncey has been placed on injured reserve due to a neck injury.,2019-10-09,Out,Pouncey,1570657865775,53,1023,C,,,7548,6478,mike,mikepouncey,pouncey,9999999,nfl,041c36ad-0d7d-4ed1-8157-95092b3027a4,,Active,LAC,303,24802,8
5300,True,25,,,1994-11-15,,None,2,RILB,3134310,19926,['LB'],Kenny,Kenny Young,00-0034266,#KennyYoung-NFL-LAR-41,"6'1""",,,,,,Young,1576991157290,41,5300,ILB,,,12689,,kenny,kennyyoung,young,1122,nfl,13a9ad48-6886-4390-b2d8-9c79cda111d1,,Active,LAR,236,31092,1
